VS,Sol,Ky,May,Axl,Chipp,Potemkin,Faust,Millia,Zato-1,Ramlethal,Leo,Nagoriyuki,Giovanna,Anji,I-No,Goldlewis,Jack-O',Happy Chaos,Baiken,Testament,Bridget,Sin
Sol,50.0,54.0,45.0,46.0,54.0,42.0,46.0,53.0,44.0,52.0,49.0,40.0,48.0,39.0,57.0,43.0,51.0,50.0,51.0,46.0,51.0,48.0
Ky,46.0,50.0,48.0,47.0,56.0,46.0,53.0,51.0,50.0,52.0,52.0,47.0,51.0,48.0,47.0,40.0,53.0,52.0,54.0,54.0,50.0,51.0
May,55.0,52.0,50.0,51.0,54.0,51.0,51.0,60.0,49.0,46.0,41.0,46.0,55.0,44.0,50.0,46.0,46.0,58.0,52.0,54.0,57.0,57.0
Axl,54.0,53.0,49.0,50.0,43.0,52.0,63.0,40.0,58.0,44.0,55.0,49.0,49.0,43.0,56.0,58.0,50.0,59.0,50.0,64.0,55.0,53.0
Chipp,46.0,44.0,46.0,57.0,50.0,48.0,53.0,54.0,49.0,42.0,48.0,49.0,53.0,47.0,50.0,47.0,48.0,55.0,45.0,53.0,49.0,50.0
Potemkin,58.0,54.0,49.0,48.0,52.0,50.0,49.0,55.0,53.0,50.0,56.0,51.0,54.0,46.0,49.0,40.0,45.0,63.0,52.0,58.0,55.0,56.0
Faust,54.0,47.0,49.0,37.0,47.0,51.0,50.0,54.0,54.0,49.0,51.0,50.0,57.0,44.0,44.0,51.0,44.0,41.0,49.0,49.0,52.0,52.0
Millia,47.0,49.0,40.0,60.0,46.0,45.0,46.0,50.0,47.0,58.0,42.0,52.0,54.0,49.0,52.0,40.0,54.0,57.0,51.0,61.0,49.0,53.0
Zato-1,56.0,50.0,51.0,42.0,51.0,47.0,46.0,53.0,50.0,47.0,43.0,49.0,47.0,52.0,53.0,54.0,44.0,47.0,50.0,46.0,50.0,54.0
Ramlethal,48.0,48.0,54.0,56.0,58.0,50.0,51.0,42.0,53.0,50.0,44.0,48.0,54.0,50.0,48.0,51.0,49.0,53.0,49.0,53.0,55.0,46.0
Leo,51.0,48.0,59.0,45.0,52.0,44.0,49.0,58.0,57.0,56.0,50.0,39.0,54.0,49.0,46.0,47.0,47.0,56.0,52.0,39.0,56.0,51.0
Nagoriyuki,60.0,53.0,54.0,51.0,51.0,49.0,50.0,48.0,51.0,52.0,61.0,50.0,56.0,55.0,48.0,51.0,52.0,46.0,54.0,55.0,57.0,57.0
Giovanna,52.0,49.0,45.0,51.0,47.0,46.0,43.0,46.0,53.0,46.0,46.0,44.0,50.0,47.0,40.0,40.0,39.0,49.0,47.0,45.0,52.0,48.0
Anji,61.0,52.0,56.0,57.0,53.0,54.0,56.0,51.0,48.0,50.0,51.0,45.0,53.0,50.0,60.0,45.0,48.0,48.0,57.0,55.0,56.0,56.0
I-No,43.0,53.0,50.0,44.0,50.0,51.0,56.0,48.0,47.0,52.0,54.0,52.0,60.0,40.0,50.0,52.0,50.0,54.0,40.0,61.0,54.0,53.0
Goldlewis,57.0,60.0,54.0,42.0,53.0,60.0,49.0,60.0,46.0,49.0,53.0,49.0,60.0,55.0,48.0,50.0,53.0,54.0,55.0,47.0,58.0,55.0
Jack-O',49.0,47.0,54.0,50.0,52.0,55.0,56.0,46.0,56.0,51.0,53.0,48.0,61.0,52.0,50.0,47.0,50.0,44.0,56.0,60.0,57.0,55.0
Happy Chaos,50.0,48.0,42.0,41.0,45.0,37.0,59.0,43.0,53.0,47.0,44.0,54.0,51.0,52.0,46.0,46.0,56.0,50.0,51.0,54.0,54.0,50.0
Baiken,49.0,46.0,48.0,50.0,55.0,48.0,51.0,49.0,50.0,51.0,48.0,46.0,53.0,43.0,60.0,45.0,44.0,49.0,50.0,56.0,58.0,51.0
Testament,54.0,46.0,46.0,36.0,47.0,42.0,51.0,39.0,54.0,47.0,61.0,45.0,55.0,45.0,39.0,53.0,40.0,46.0,44.0,50.0,49.0,54.0
Bridget,49.0,50.0,43.0,45.0,51.0,45.0,48.0,51.0,50.0,45.0,44.0,43.0,48.0,44.0,46.0,42.0,43.0,46.0,42.0,51.0,50.0,44.0
Sin,52.0,49.0,43.0,47.0,50.0,44.0,48.0,47.0,46.0,54.0,49.0,43.0,52.0,44.0,47.0,45.0,45.0,50.0,49.0,46.0,56.0,50.0
