VS,Sol,Ky,May,Axl,Chipp,Potemkin,Faust,Millia,Zato-1,Ramlethal,Leo,Nagoriyuki,Giovanna,Anji,I-No,Goldlewis,Jack-O',Happy Chaos,Baiken,Testament,Bridget,Sin
Sol,50.0,46.0,53.0,47.0,57.0,64.0,59.0,58.0,59.0,71.0,63.0,38.0,57.0,45.0,65.0,47.0,43.0,54.0,50.0,56.0,64.0,58.0
Ky,54.0,50.0,62.0,52.0,50.0,59.0,62.0,72.0,56.0,50.0,64.0,38.0,58.0,54.0,68.0,44.0,60.0,50.0,61.0,61.0,65.0,59.0
May,47.0,38.0,50.0,58.0,43.0,52.0,56.0,46.0,38.0,41.0,32.0,38.0,49.0,53.0,54.0,33.0,53.0,54.0,44.0,53.0,64.0,56.0
Axl,53.0,48.0,42.0,50.0,30.0,53.0,64.0,40.0,57.0,34.0,38.0,39.0,39.0,34.0,61.0,37.0,60.0,49.0,37.0,67.0,50.0,42.0
Chipp,43.0,50.0,57.0,70.0,50.0,62.0,65.0,62.0,56.0,51.0,40.0,41.0,62.0,64.0,69.0,55.0,53.0,43.0,43.0,67.0,59.0,56.0
Potemkin,36.0,41.0,48.0,47.0,38.0,50.0,52.0,60.0,40.0,48.0,57.0,44.0,51.0,51.0,73.0,44.0,39.0,45.0,38.0,52.0,53.0,45.0
Faust,41.0,38.0,44.0,36.0,35.0,48.0,50.0,56.0,50.0,43.0,32.0,45.0,35.0,42.0,49.0,52.0,45.0,30.0,50.0,54.0,54.0,32.0
Millia,42.0,28.0,54.0,60.0,38.0,40.0,44.0,50.0,44.0,36.0,38.0,35.0,56.0,52.0,57.0,47.0,41.0,36.0,57.0,58.0,60.0,46.0
Zato-1,41.0,44.0,62.0,43.0,44.0,60.0,50.0,56.0,50.0,46.0,44.0,50.0,60.0,78.0,71.0,40.0,50.0,32.0,65.0,41.0,52.0,42.0
Ramlethal,29.0,50.0,59.0,66.0,49.0,52.0,57.0,64.0,54.0,50.0,55.0,41.0,45.0,57.0,47.0,48.0,55.0,45.0,49.0,67.0,56.0,47.0
Leo,37.0,36.0,68.0,62.0,60.0,43.0,68.0,62.0,56.0,45.0,50.0,38.0,69.0,51.0,57.0,43.0,47.0,35.0,56.0,35.0,54.0,38.0
Nagoriyuki,62.0,62.0,62.0,61.0,59.0,56.0,55.0,65.0,50.0,59.0,62.0,50.0,60.0,64.0,63.0,56.0,57.0,50.0,62.0,67.0,59.0,53.0
Giovanna,43.0,42.0,51.0,61.0,38.0,49.0,65.0,44.0,40.0,55.0,31.0,40.0,50.0,54.0,57.0,55.0,50.0,57.0,55.0,45.0,64.0,45.0
Anji,55.0,46.0,47.0,66.0,36.0,49.0,58.0,48.0,22.0,43.0,49.0,36.0,46.0,50.0,49.0,41.0,45.0,33.0,47.0,51.0,52.0,48.0
I-No,35.0,32.0,46.0,39.0,31.0,27.0,51.0,43.0,29.0,53.0,43.0,37.0,43.0,51.0,50.0,29.0,48.0,33.0,25.0,37.0,63.0,24.0
Goldlewis,53.0,56.0,67.0,63.0,45.0,56.0,48.0,53.0,60.0,52.0,57.0,44.0,45.0,59.0,71.0,50.0,44.0,28.0,65.0,61.0,58.0,55.0
Jack-O',57.0,40.0,47.0,40.0,47.0,61.0,55.0,59.0,50.0,45.0,53.0,43.0,50.0,55.0,52.0,56.0,50.0,30.0,59.0,62.0,70.0,56.0
Happy Chaos,46.0,50.0,46.0,51.0,57.0,55.0,70.0,64.0,68.0,55.0,65.0,50.0,43.0,67.0,67.0,72.0,70.0,50.0,63.0,57.0,54.0,49.0
Baiken,50.0,39.0,56.0,63.0,57.0,62.0,50.0,43.0,35.0,51.0,44.0,38.0,45.0,53.0,75.0,35.0,41.0,37.0,50.0,63.0,65.0,57.0
Testament,44.0,39.0,47.0,33.0,33.0,48.0,46.0,42.0,59.0,33.0,65.0,33.0,55.0,49.0,63.0,39.0,38.0,43.0,37.0,50.0,62.0,43.0
Bridget,36.0,35.0,36.0,50.0,41.0,47.0,46.0,40.0,48.0,44.0,46.0,41.0,36.0,48.0,37.0,42.0,30.0,46.0,35.0,38.0,50.0,41.0
Sin,42.0,41.0,44.0,58.0,44.0,55.0,68.0,54.0,58.0,53.0,62.0,47.0,55.0,52.0,76.0,45.0,44.0,51.0,43.0,57.0,59.0,50.0
